state,action
[-1  0  1  0  0  0  0  1  0],-5.085642075450391
[-1  0  1  0  0  0  0  0  1],-3.807351621653355
[-1  1  1  1 -1  0  0  0  0],-8.13486784401
[-1  1  1  0 -1  1  0  0  0],-4.381146459900001
[-1  1  1  0 -1  0  1  0  0],-5.3144100000000005
[-1  1  1  0 -1  0  0  1  0],-5.3144100000000005
[-1  1  1  0 -1  0  0  0  1],-0.0020078372420999635
[-1  1  1  1 -1 -1  1  0  0],-0.5314410000000002
[-1  1  1  1 -1 -1  0  1  0],-0.5314410000000002
[-1  1  1  1 -1 -1  0  0  1],-0.5845851000000001
[-1  1  1  1 -1 -1  1 -1  1],-0.9
[-1  1  1  1 -1 -1  1 -1  0],-0.6561000000000001
[-1  1  1  1 -1 -1  0  0  0],-0.43046721000000016
[-1  1  1  0 -1  0  0  0  0],3.1278595499003705
[-1  0  1  0  0  0  0  0  0],-5.168708317045681
[ 0 -1  1  1  0  0  0  0  0],-4.543830647379
[ 0 -1  1  0  1  0  0  0  0],4.458402569511001
[ 0 -1  1  0  0  1  0  0  0],0
[ 0 -1  1  0  0  0  1  0  0],0
[ 0 -1  1  0  0  0  0  1  0],-4.440892098500626e-16
[ 0 -1  1  0  0  0  0  0  1],-2.9486271229808585
[ 1 -1  1  1 -1  0  0  0  0],5.3144100000000005
[ 1 -1  1  0 -1  1  0  0  0],3.4867844010000004
[ 1 -1  1  0 -1  0  1  0  0],-5.845851000000001
[ 1 -1  1  0 -1  0  0  1  0],-0.34867844010000015
[ 1 -1  1  0 -1  0  0  0  1],-0.3835462841100001
[ 1 -1  1  1 -1 -1  1  0  0],8.91
[ 1 -1  1  1 -1 -1  0  1  0],-0.5314410000000002
[ 1 -1  1  1 -1 -1  0  0  1],-0.5845851000000001
[ 1 -1  1  1 -1 -1  0  0  0],6.561
[ 1 -1  1  0 -1  0  0  0  0],4.3046721
[ 0 -1  1  0  0  0  0  0  0],5.322594767225057
[ 0  0  1 -1  1  0  0  0  0],-5.462304715890001
[ 0  0  1 -1  0  1  0  0  0],3.871001336359795
[ 0  0  1 -1  0  0  1  0  0],5.720833076564961
[ 0  0  1 -1  0  0  0  1  0],0
[ 0  0  1 -1  0  0  0  0  1],-5.845851000000001
[ 1  0  1 -1 -1  1  0  0  0],5.845851000000001
[ 1  0  1 -1 -1  0  1  0  0],-5.8989951000000005
[ 1  0  1 -1 -1  0  0  1  0],0
[ 1  0  1 -1 -1  0  0  0  1],-8.1
[ 1  0  1 -1 -1  0  0  0  0],7.2171
[ 0  0  1 -1  0  0  0  0  0],4.735139310000001
[ 0  0  1  1 -1  0  0  0  0],-4.366903841100001
[ 0  0  1  0 -1  1  0  0  0],-5.95053545933404
[ 0  0  1  0 -1  0  1  0  0],-6.047833829365504
[ 0  0  1  0 -1  0  0  1  0],-0.22876792454961012
[ 0  0  1  0 -1  0  0  0  1],-5.3144100000000005
[ 1  0  1  1 -1 -1  0  0  0],0
[ 1  0  1  0 -1 -1  1  0  0],0
[ 1  0  1  0 -1 -1  0  1  0],0
[ 1  0  1  0 -1 -1  0  0  1],0
[ 1  0  1  0 -1 -1  0  0  0],7.2171
[ 0  0  1  0 -1  0  0  0  0],4.735139310000001
[ 0  0  1  1  0 -1  0  0  0],0
[ 0  0  1  0  1 -1  0  0  0],5.4877332946516315
[ 0  0  1  0  0 -1  1  0  0],-3.8703306851100003
[ 0  0  1  0  0 -1  0  1  0],0
[ 0  0  1  0  0 -1  0  0  1],-0.637478680360067
