state,action
[ 0  0  0  0  0  1  0  0 -1],-4.151190483149567
[-1  1 -1  0  0  1  0  0  0],-0.34867844010000015
[-1  1  0 -1  0  1  0  0  0],3.835462841100001
[-1  1  0  0 -1  1  0  0  0],-5.3144100000000005
[-1  1  0  0  0  1 -1  0  0],5.3144100000000005
[-1  1  0  0  0  1  0 -1  0],3.4867844010000004
[-1  1  0  0  0  1  0  0 -1],3.4867844010000004
[-1  1 -1  1 -1  1  0  0  0],-0.5314410000000002
[-1  1 -1  1  0  1 -1  0  0],0
[-1  1 -1  1  0  1  0 -1  0],-8.1
[-1  1 -1  1  0  1  0  0 -1],-8.1
[-1  1 -1  1 -1  1  1 -1  0],-0.81
[-1  1 -1  1 -1  1  1  0 -1],8.1
[-1  1 -1  1 -1  1  1  0  0],-0.6561000000000001
[-1  1 -1  1  0  1  0  0  0],-0.43046721000000016
[-1  1  0  0  0  1  0  0  0],-0.28242953648100017
[0 0 0 0 0 1 0 0 0],3.5028080774024244
[-1  0  0  0  0  0  1  0  0],-5.015436665618488
[ 0 -1  0  0  0  0  1  0  0],-5.3144100000000005
[ 0  0 -1  0  0  0  1  0  0],-4.297700166267852
[ 0  0  0 -1  0  0  1  0  0],-6.026999211666364
[ 0  0  0  0 -1  0  1  0  0],4.290525118787342
[ 0  0  0  0  0 -1  1  0  0],-5.163624434232392
[ 0  0  0  0  0  0  1 -1  0],-4.2914032771286985
[ 0  0  0  0  0  0  1  0 -1],-4.2915376915405306
[-1  1 -1  0  0  0  1  0  0],-3.4867844010000004
[-1  1  0 -1  0  0  1  0  0],-3.4867844010000004
[-1  1  0  0 -1  0  1  0  0],3.8354628411000005
[-1  1  0  0  0 -1  1  0  0],-3.1381059609
[-1  1  0  0  0  0  1 -1  0],3.7284550195042607
[-1  1  0  0  0  0  1  0 -1],-5.3144100000000005
[-1  1 -1  1 -1  0  1  0  0],-5.3144100000000005
[-1  1 -1  1  0 -1  1  0  0],0.0
[-1  1 -1  1  0  0  1 -1  0],-5.3144100000000005
[-1  1 -1  1  0  0  1  0 -1],6.4304361000000005
[-1  1 -1  1 -1 -1  1  1  0],-8.1
[-1  1 -1  1 -1  0  1  1 -1],8.91
[-1  1 -1  1 -1  0  1  1  0],5.9049
[-1  1 -1  1  0  0  1  0  0],4.778186031
[-1  1  0  0  0  0  1  0  0],2.82429536481
[0 0 0 0 0 0 1 0 0],3.7365120289300906
[ 1 -1 -1  0  0  0  1  0  0],-8.1
[ 1 -1  0 -1  0  0  1  0  0],3.4867844010000004
[ 1 -1  0  0 -1  0  1  0  0],5.697956284110001
[ 1 -1  0  0  0 -1  1  0  0],-5.3144100000000005
[ 1 -1  0  0  0  0  1 -1  0],-5.3144100000000005
[ 1 -1  0  0  0  0  1  0 -1],-5.3144100000000005
[ 1 -1  0  0  0  0  1  0  0],3.959244590129103
[ 1  0 -1 -1  0  0  1  0  0],-0.34867844010000015
[ 1  0 -1  0 -1  0  1  0  0],0
[ 1  0 -1  0  0 -1  1  0  0],3.1381059609
[ 1  0 -1  0  0  0  1 -1  0],-0.34867844010000015
[ 1  0 -1  0  0  0  1  0 -1],-7.71645371589
[ 1  1 -1 -1 -1  0  1  0  0],-0.5314410000000002
[ 1  1 -1 -1  0 -1  1  0  0],4.782969
[ 1  1 -1 -1  0  0  1 -1  0],-0.5314410000000002
[ 1  1 -1 -1  0  0  1  0 -1],0.053144099999999916
[ 1  1 -1 -1 -1  1  1 -1  0],-0.81
[ 1  1 -1 -1 -1  1  1  0 -1],-0.81
[ 1  1 -1 -1 -1  1  1  0  0],-0.6561000000000001
[ 1  1 -1 -1  0  0  1  0  0],-0.43046721000000016
[ 1  0 -1  0  0  0  1  0  0],-6.278570463519
[ 1  0  0 -1 -1  0  1  0  0],0
[ 1  0  0 -1  0 -1  1  0  0],0
[ 1  0  0 -1  0  0  1 -1  0],-5.3144100000000005
[ 1  0  0 -1  0  0  1  0 -1],0
[ 1 -1  1 -1 -1  0  1  0  0],5.8989951000000005
[ 1 -1  1 -1  0 -1  1  0  0],-8.1
[ 1 -1  1 -1  0  0  1 -1  0],-8.1
[ 1 -1  1 -1  0  0  1  0 -1],-8.1
[ 1 -1  1 -1 -1  1  1 -1  0],8.91
[ 1 -1  1 -1 -1  1  1  0 -1],-0.81
[ 1 -1  1 -1 -1  1  1  0  0],6.561
[ 1 -1  1 -1  0  0  1  0  0],4.3046721
[ 1  0  0 -1  0  0  1  0  0],2.82429536481
[-1  0  0  0  0  0  0  1  0],-3.919343368096894
[ 0 -1  0  0  0  0  0  1  0],4.361823726822211
[ 0  0 -1  0  0  0  0  1  0],-4.920929169774672
[ 0  0  0 -1  0  0  0  1  0],-3.724703042531595
[ 0  0  0  0 -1  0  0  1  0],-3.6906189094529487
[ 0  0  0  0  0 -1  0  1  0],-3.5096611934549617
[ 0  0  0  0  0  0 -1  1  0],-3.475022117369511
[ 0  0  0  0  0  0  0  1 -1],-3.9443202500992207
[-1  1 -1  0  0  0  0  1  0],-7.78618940391
[-1  1  0 -1  0  0  0  1  0],0
[-1  1  0  0 -1  0  0  1  0],3.4867844010000004
[-1  1  0  0  0 -1  0  1  0],-5.3144100000000005
[-1  1  0  0  0  0 -1  1  0],5.3144100000000005
[-1  1  0  0  0  0  0  1 -1],-5.3144100000000005
[-1  1 -1  1 -1  0  0  1  0],5.792706900000001
[-1  1 -1  1  0 -1  0  1  0],0
[-1  1 -1  1  0  0 -1  1  0],-8.1
[-1  1 -1  1  0  0  0  1 -1],-8.1
[-1  1 -1  1  0  0  0  1  0],3.8742048899999997
[-1  1  0  0  0  0  0  1  0],2.541865828329
[0 0 0 0 0 0 0 1 0],3.7522617218994028
[-1  0  0  0  0  0  0  0  1],-5.151990336350743
[ 0 -1  0  0  0  0  0  0  1],-6.395339488065451
[ 0  0 -1  0  0  0  0  0  1],3.901857917129704
[ 0  0  0 -1  0  0  0  0  1],-6.043148118332361
[ 0  0  0  0 -1  0  0  0  1],-5.397166381111998
[ 0  0  0  0  0 -1  0  0  1],-5.988840002981149
[ 0  0  0  0  0  0 -1  0  1],-5.44239030377519
[ 0  0  0  0  0  0  0 -1  1],-5.771074689963768
[-1  1 -1  0  0  0  0  0  1],0.0
[-1  1  0 -1  0  0  0  0  1],-0.3486784401000001
[-1  1  0  0 -1  0  0  0  1],-5.3144100000000005
[-1  1  0  0  0 -1  0  0  1],-0.34867844010000015
[-1  1  0  0  0  0 -1  0  1],-0.6973568802
[-1  1  0  0  0  0  0 -1  1],-6.482003622346431
[-1  1 -1  1 -1  0  0  0  1],-5.3144100000000005
[-1  1 -1  1  0 -1  0  0  1],-0.5314410000000002
[-1  1 -1  1  0  0 -1  0  1],-5.3144100000000005
[-1  1 -1  1  0  0  0 -1  1],-1.1160260999999996
[-1  1 -1  1 -1  1 -1  0  1],8.91
[-1  1 -1  1 -1  1  0 -1  1],-0.891
[-1  1 -1  1 -1  1  0  0  1],6.561
[-1  1 -1  1  0  0  0  0  1],4.3046721
[-1  1  0  0  0  0  0  0  1],2.82429536481
[0 0 0 0 0 0 0 0 1],3.2099241764757105
[ 1 -1 -1  1  0  0  0  0  0],-8.1
[ 1 -1  0  1 -1  0  0  0  0],0
[ 1 -1  0  1  0 -1  0  0  0],0
[ 1 -1  0  1  0  0 -1  0  0],3.6875681252100017
[ 1 -1  0  1  0  0  0 -1  0],-5.3144100000000005
[ 1 -1  0  1  0  0  0  0 -1],-5.845851000000001
[ 1 -1  0  1  0  0  0  0  0],2.3308301814201027
[ 1  0 -1  1 -1  0  0  0  0],5.845851000000001
[ 1  0 -1  1  0 -1  0  0  0],0
[ 1  0 -1  1  0  0 -1  0  0],0
[ 1  0 -1  1  0  0  0 -1  0],-5.3144100000000005
[ 1  0 -1  1  0  0  0  0 -1],0
[ 1  0 -1  1  0  0  0  0  0],4.3046721
[ 1 -1 -1  0  1  0  0  0  0],-5.3144100000000005
[ 1 -1  0 -1  1  0  0  0  0],-6.1180550802
[ 1 -1  0  0  1 -1  0  0  0],-5.91558668802
[ 1 -1  0  0  1  0 -1  0  0],-5.3632249816140005
[ 1 -1  0  0  1  0  0 -1  0],-4.715582281200001
[ 1 -1  0  0  1  0  0  0 -1],-4.0182254010000005
[ 1 -1 -1  1  1 -1  0  0  0],-8.1
[ 1 -1 -1  1  1  0 -1  0  0],-5.845851000000001
[ 1 -1 -1  1  1  0  0 -1  0],-8.1
[ 1 -1 -1  1  1  0  0  0 -1],0
[ 1 -1 -1  1  1  0  0  0  0],-6.561
[ 1 -1  0  0  1  0  0  0  0],-5.481874242467892
[ 1  0 -1 -1  1  0  0  0  0],-0.6973568802
[ 1  0 -1  0  1 -1  0  0  0],4.251528
[ 1  0 -1  0  1  0 -1  0  0],3.1381059609000004
[ 1  0 -1  0  1  0  0 -1  0],-5.845851000000001
[ 1  0 -1  0  1  0  0  0 -1],0
[ 1  1 -1 -1  1  1  0 -1 -1],-0.891
[ 1  1 -1 -1  1  1  0 -1  0],-0.6561000000000001
[ 1  0 -1  0  1  0  0  0  0],2.10575002759938
[ 1  0  0 -1  1 -1  0  0  0],-5.3144100000000005
[ 1  0  0 -1  1  0 -1  0  0],-5.3144100000000005
[ 1  0  0 -1  1  0  0 -1  0],-5.845851000000001
[ 1  0  0 -1  1  0  0  0 -1],3.3388896851100016
[ 1 -1  1 -1  1  1 -1 -1  0],-8.91
[ 1 -1  1 -1  1  1 -1  0 -1],-0.8991
[ 1 -1  1 -1  1  1 -1  0  0],-0.859491
[ 1  0  0 -1  1  0  0  0  0],2.2414858091910013
[ 1  0  0  0  1 -1 -1  0  0],-5.3144100000000005
[ 1  0  0  0  1 -1  0 -1  0],-5.3144100000000005
[ 1  0  0  0  1 -1  0  0 -1],-5.458817931489001
[ 1 -1  1  0  1 -1 -1  0  0],-1.0628819999999999
[ 1 -1  1  0  1 -1  0 -1  0],-6.4835802000000005
[ 1 -1  1  0  1 -1  0  0 -1],-8.1
[ 1 -1  1  0  1 -1  0  0  0],-6.647093441999999
[ 1  0  0  0  1 -1  0  0  0],2.954165548542095
[ 1  0  0  0  1  0 -1 -1  0],3.835462841100001
[ 1  0  0  0  1  0 -1  0 -1],0
[ 1 -1  1  0  1  0 -1 -1  0],-7.5685590000000005
[ 1 -1  1  0  1  0 -1  0 -1],5.845851000000001
[ 1 -1  1  1  1  0 -1 -1 -1],8.91
[ 1 -1  1  1  1  0 -1 -1  0],6.561
[ 1 -1  1  0  1  0 -1  0  0],4.3046721
[ 1  0  0  0  1  0 -1  0  0],2.82429536481
[ 1 -1 -1  0  0  1  0  0  0],-5.3144100000000005
[ 1 -1  0 -1  0  1  0  0  0],3.796724666404891
[ 1 -1  0  0 -1  1  0  0  0],-3.4867844010000004
[ 1 -1  0  0  0  1 -1  0  0],-0.6973568802
[ 1 -1  0  0  0  1  0 -1  0],5.5652900100750005
[ 1 -1  0  0  0  1  0  0 -1],-5.352764628411
[ 1 -1 -1  1 -1  1  0  0  0],-8.1
[ 1 -1 -1  1  0  1 -1  0  0],-8.1
[ 1 -1 -1  1  0  1  0 -1  0],-8.1
[ 1 -1 -1  1  0  1  0  0 -1],-8.1
[ 1 -1 -1  1  0  1  0  0  0],-7.2171
[ 1 -1  0  0  0  1  0  0  0],2.996306992694793
[ 1  0 -1 -1  0  1  0  0  0],-3.138105960900001
[ 1  0 -1  0 -1  1  0  0  0],3.835462841100001
[ 1  0 -1  0  0  1 -1  0  0],-4.21900912521
[ 1  0 -1  0  0  1  0 -1  0],-5.34927784401
[ 1  0 -1  0  0  1  0  0 -1],0
[ 1  1 -1 -1 -1  1  0  0  0],5.845851000000001
[ 1  1 -1 -1  0  1 -1  0  0],-6.4304361000000005
[ 1  1 -1 -1  0  1  0 -1  0],-0.5314410000000002
[ 1  1 -1 -1  0  1  0  0 -1],-5.3144100000000005
[ 1  1 -1 -1 -1  1 -1  1  0],8.1
[ 1  1 -1 -1 -1  1  0  1 -1],-0.81
[ 1  1 -1 -1 -1  1  0  1  0],6.561
[ 1  1 -1 -1  0  1  0  0  0],4.3046721
[ 1  0 -1  0  0  1  0  0  0],2.82429536481
[ 0  1 -1 -1  0  1  0  0  0],-3.835462841100001
[ 0  1 -1  0 -1  1  0  0  0],3.6695469609
[ 0  1 -1  0  0  1 -1  0  0],0
[ 0  1 -1  0  0  1  0 -1  0],0
[ 0  1 -1  0  0  1  0  0 -1],0
[ 0  1 -1 -1  1  1 -1  0  0],-5.845851000000001
[ 0  1 -1 -1  1  1  0 -1  0],-0.5314410000000002
[ 0  1 -1 -1  1  1  0  0 -1],0
[ 0  1 -1 -1  1  1  0  0  0],-0.903981141
[ 0  1 -1  0  0  1  0  0  0],3.9939996098709
[ 1  0  0 -1 -1  1  0  0  0],0
[ 1  0  0 -1  0  1 -1  0  0],-5.3144100000000005
[ 1  0  0 -1  0  1  0 -1  0],-5.3144100000000005
[ 1  0  0 -1  0  1  0  0 -1],0
[ 1 -1 -1 -1  1  1  0  0  0],-5.3144100000000005
[ 1  0 -1 -1  1  1 -1  0  0],-6.488894610000001
[ 1  0 -1 -1  1  1  0 -1  0],-0.5314410000000002
[ 1  0 -1 -1  1  1  0  0 -1],-0.5845851000000001
[ 1 -1 -1 -1  1  1  1 -1  0],-8.1
[ 1 -1 -1 -1  1  1  1  0 -1],-0.891
[ 1 -1 -1 -1  1  1  1  0  0],-1.3778099999999993
[ 1  0 -1 -1  1  1  0  0  0],-4.3046721
[ 1  0  0 -1  0  1  0  0  0],-0.5676833683268101
[ 1  0  0  0 -1  1 -1  0  0],5.3144100000000005
[ 1  0  0  0 -1  1  0 -1  0],-6.0117668802
[ 1  0  0  0 -1  1  0  0 -1],0
[ 1 -1  1 -1 -1  1  0  0  0],-5.3144100000000005
[ 1 -1  1  0 -1  1 -1  0  0],0
[ 1 -1  1  0 -1  1  0 -1  0],8.1
[ 1 -1  1  0 -1  1  0  0 -1],5.3144100000000005
[ 1 -1  1 -1 -1  1 -1  1  0],-8.1
[ 1 -1  1 -1 -1  1  0  1 -1],-0.891
[ 1 -1  1 -1 -1  1  0  1  0],-0.85293
[ 1 -1  1  0 -1  1  0  0  0],-4.3046721
[ 1  0  0  0 -1  1  0  0  0],2.824295364810001
[ 1  0  0  0  0  1 -1 -1  0],-6.0117668802
[ 1  0  0  0  0  1 -1  0 -1],0
[ 1 -1  1 -1  0  1 -1  0  0],-1.0628819999999999
[ 1 -1  1  0  0  1 -1 -1  0],0
[ 1 -1  1  0  0  1 -1  0 -1],0
[ 1 -1  1  0  0  1 -1  0  0],-0.86093442
[ 1  0  0  0  0  1 -1  0  0],3.839466057012837
[ 1  0  0  0  0  1  0 -1 -1],-6.0117668802
[ 1 -1  1 -1  0  1  0 -1  0],-5.3144100000000005
[ 1 -1  1  0  0  1  0 -1 -1],0
[ 1 -1  1 -1  1  1  0 -1 -1],-8.1
